date, followers, following, tweets
2023-05-03,321290,939,13258
2023-05-04,321260,939,13264
2023-05-05,321226,938,13270
2023-05-06,321229,939,13275
2023-05-07,321252,939,13277
2023-05-08,321212,938,13284
2023-05-09,321196,938,13291
2023-05-10,321164,938,13302
2023-05-11,321073,938,13314
2023-05-12,321031,938,13320
2023-05-13,321143,938,13334
2023-05-14,321310,938,13346
2023-05-15,321563,938,13356
2023-05-17,321662,940,13407
2023-05-18,321737,940,13414
2023-05-19,321847,939,13427
2023-05-20,321838,940,13440
2023-05-21,321829,942,13447
2023-05-22,321823,942,13453
2023-05-23,321819,941,13467
2023-05-25,321775,940,13496
2023-05-26,321859,941,13508
2023-05-27,321881,941,13518
2023-05-28,321830,939,13529
2023-05-29,322048,939,13542
2023-05-30,322078,939,13548
2023-05-31,322071,938,13553
2023-06-01,322043,938,13571
2023-06-02,322135,938,13587
