date, followers, following, tweets
2023-05-03,305060,675,52851
2023-05-04,305029,675,52859
2023-05-05,305022,675,52869
2023-05-06,305001,675,52877
2023-05-07,304982,675,52885
2023-05-08,304938,675,52894
2023-05-09,304926,675,52904
2023-05-10,304874,675,52912
2023-05-11,304819,675,52921
2023-05-12,304812,675,52933
2023-05-13,304771,675,52942
2023-05-14,304872,675,52950
2023-05-15,304938,675,52958
2023-05-17,304889,675,52979
2023-05-18,304895,675,52987
2023-05-19,304924,675,52996
2023-05-20,304950,675,53005
2023-05-21,304978,675,53006
2023-05-22,305012,675,53015
2023-05-23,305040,675,53021
2023-05-25,304952,675,53037
2023-05-26,304931,675,53046
2023-05-27,304901,675,53055
2023-05-28,304863,675,53063
2023-05-29,304904,675,53071
2023-05-30,304883,675,53080
2023-05-31,304887,675,53090
2023-06-01,304870,675,53097
2023-06-02,304857,675,53106
