date, followers, following, tweets
2023-05-03,2499615,9,20947
2023-05-04,2503496,9,20967
2023-05-05,2505400,9,20968
2023-05-06,2508956,9,20986
2023-05-07,2512594,9,21000
2023-05-08,2515936,9,21009
2023-05-09,2522971,9,21036
2023-05-10,2535259,9,21055
2023-05-11,2547360,9,21067
2023-05-12,2554879,9,21080
2023-05-13,2559700,9,21097
2023-05-14,2564352,9,21107
2023-05-15,2568457,9,21120
2023-05-17,2576845,9,21159
2023-05-18,2582115,9,21176
2023-05-19,2590045,9,21186
2023-05-20,2599186,9,21204
2023-05-21,2607100,9,21218
2023-05-22,2613571,9,21227
2023-05-23,2618186,9,21243
2023-05-25,2629792,9,21275
2023-05-26,2638425,9,21293
2023-05-27,2640486,9,21311
2023-05-28,2634564,9,21324
2023-05-29,2639843,9,21334
2023-05-30,2642757,9,21347
2023-05-31,2645716,9,21365
2023-06-01,2652830,10,21391
2023-06-02,2665745,9,21409
