date, followers, following, tweets
2023-05-03,11810095,7,98055
2023-05-04,11808699,7,98082
2023-05-05,11807785,7,98084
2023-05-06,11807486,7,98106
2023-05-07,11806391,7,98128
2023-05-08,11804794,7,98141
2023-05-09,11803649,7,98167
2023-05-10,11801868,7,98200
2023-05-11,11800370,7,98234
2023-05-12,11799273,8,98260
2023-05-13,11797344,8,98289
2023-05-14,11795990,8,98305
2023-05-15,11794607,8,98321
2023-05-17,11791190,6,98387
2023-05-18,11789970,6,98413
2023-05-19,11789819,6,98439
2023-05-20,11789272,6,98467
2023-05-21,11789071,6,98493
2023-05-22,11788110,6,98513
2023-05-23,11787009,6,98545
2023-05-25,11783546,6,98611
2023-05-26,11782481,6,98641
2023-05-27,11781396,6,98671
2023-05-28,11780598,6,98687
2023-05-29,11780112,6,98702
2023-05-30,11779278,6,98723
2023-05-31,11777176,6,98753
2023-06-01,11775909,6,98784
2023-06-02,11774943,6,98814
